date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:34	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-38a54ccda54449fb;gz%22	https://wp.aqlova.com/robots.txt		(from )
14:55:36	167279/167279	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2017%20Jul%202026%2013:55:33%20GMT	https://wp.aqlova.com/pixora/creative-agency-classic/digital-studio/	C:/Users/DELL/Desktop/pixora/wp.aqlova.com/pixora/creative-agency-classic/digital-studio/index.html	(from )
14:55:52	2979/2979	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jun%202026%2006:39:57%20GMT	https://wp.aqlova.com/pixora/creative-agency-classic/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.6	C:/Users/DELL/Desktop/pixora/wp.aqlova.com/pixora/creative-agency-classic/wp-content/plugins/contact-form-7/includes/css/stylesc098.css	(from https://wp.aqlova.com/pixora/creative-agency-classic/digital-studio/)
14:55:52	2311/2311	---M-Z	200	added ('OK')	text/css	date:Tue,%2009%20Sep%202025%2008:23:10%20GMT	https://wp.aqlova.com/pixora/creative-agency-classic/wp-content/plugins/pixora-core/assets/css/tp-core.css?ver=1.0.0	C:/Users/DELL/Desktop/pixora/wp.aqlova.com/pixora/creative-agency-classic/wp-content/plugins/pixora-core/assets/css/tp-core8a54.css	(from https://wp.aqlova.com/pixora/creative-agency-classic/digital-studio/)
14:55:54	194851/194851	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Aug%202025%2010:32:25%20GMT	https://wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/bootstrap.css?ver=1.1.4	C:/Users/DELL/Desktop/pixora/wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/bootstrap8daf.css	(from https://wp.aqlova.com/pixora/creative-agency-classic/digital-studio/)
14:55:54	18305/18305	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Aug%202025%2010:32:25%20GMT	https://wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/swiper-bundle.css?ver=1.1.4	C:/Users/DELL/Desktop/pixora/wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/swiper-bundle8daf.css	(from https://wp.aqlova.com/pixora/creative-agency-classic/digital-studio/)
14:55:55	6951/6951	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Aug%202025%2010:32:25%20GMT	https://wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/magnific-popup.css?ver=1.1.4	C:/Users/DELL/Desktop/pixora/wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/magnific-popup8daf.css	(from https://wp.aqlova.com/pixora/creative-agency-classic/digital-studio/)
14:55:55	465639/465639	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Aug%202025%2010:32:25%20GMT	https://wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/font-awesome-pro.css?ver=1.1.4	C:/Users/DELL/Desktop/pixora/wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/font-awesome-pro8daf.css	(from https://wp.aqlova.com/pixora/creative-agency-classic/digital-studio/)
14:55:55	8418/8418	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Sep%202025%2004:28:09%20GMT	https://wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/spacing.css?ver=1.1.4	C:/Users/DELL/Desktop/pixora/wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/spacing8daf.css	(from https://wp.aqlova.com/pixora/creative-agency-classic/digital-studio/)
14:55:56	3157/3157	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Aug%202025%2010:32:25%20GMT	https://wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/nice-select.css?ver=1.1.4	C:/Users/DELL/Desktop/pixora/wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/nice-select8daf.css	(from https://wp.aqlova.com/pixora/creative-agency-classic/digital-studio/)
14:55:56	47708/47708	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Oct%202025%2011:21:22%20GMT	https://wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/pixora-unit.css?ver=1.1.4	C:/Users/DELL/Desktop/pixora/wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/pixora-unit8daf.css	(from https://wp.aqlova.com/pixora/creative-agency-classic/digital-studio/)
14:55:56	2012/2012	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Apr%202026%2008:48:17%20GMT	https://wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/pixora-custom-mediaquery.css?ver=1.1.4	C:/Users/DELL/Desktop/pixora/wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/pixora-custom-mediaquery8daf.css	(from https://wp.aqlova.com/pixora/creative-agency-classic/digital-studio/)
14:55:57	636742/636742	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Apr%202026%2006:42:05%20GMT	https://wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/pixora-core.css?ver=1.1.4	C:/Users/DELL/Desktop/pixora/wp.aqlova.com/pixora/creative-agency-classic/wp-content/themes/pixora/assets/css/pixora-core8daf.css	(from https://wp.aqlova.com/pixora/creative-agency-classic/digital-studio/)
